rel_path,lang,risk_hits_score,todo,danger_c_funcs,danger_cpp_patterns,danger_py_patterns,control_keywords
tools/project_size_report.py,python,0,0,0,0,0,0
tools/quality/git_hotspots.py,python,6,0,0,0,1,0
tools/quality/metrics_complexity.py,python,0,0,0,0,0,0
tools/quality/deps_includes.py,python,10,2,0,0,0,0
tools/quality/report_md.py,python,71,14,0,0,0,4
tools/quality/metrics_loc.py,python,5,1,0,0,0,0
tools/quality/audit.py,python,20,4,0,0,0,0
tools/quality/common.py,python,7,0,0,0,1,13
tools/quality/risk_scan.py,python,60,12,0,0,0,0
UnderwaterRobotSystem/CMakeLists.txt,cmake,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/git_auto.py,python,12,0,0,0,2,0
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/imu_xy_zero.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/imu_baud_switch.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/dvl_data_verifier.py,python,12,0,0,0,2,0
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/tmux_telemetry_manager.py,python,18,0,0,0,3,0
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/multisensor_postproc.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/volt32_data_verifier.py,python,36,0,0,0,6,0
UnderwaterRobotSystem/Underwater-robot-navigation/apps/tools/imu_data_verifier.py,python,30,0,0,0,5,0
UnderwaterRobotSystem/Underwater-robot-navigation/apps/acquire/imu_logger.py,python,12,0,0,0,2,0
UnderwaterRobotSystem/Underwater-robot-navigation/apps/acquire/Volt32_logger.py,python,36,0,0,0,6,0
UnderwaterRobotSystem/Underwater-robot-navigation/apps/acquire/DVL_logger.py,python,12,0,0,0,2,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/io/data_paths.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/io/timebase.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/imu_xy_zero.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/filters.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/imu_baud_switch.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/test.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/serial_io_tools.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/sensor1.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/tool.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/device_model.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/WT901C485.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/JY901S.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/device_model.py,python,1,0,0,0,0,2
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/protocol_resolver/interface/i_protocol_resolver.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/protocol_resolver/roles/wit_protocol_resolver.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/protocol_resolver/roles/protocol_485_resolver.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/data_processor/interface/i_data_processor.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/data_processor/roles/jy901s_dataProcessor.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/imu/WitHighModbus/Python-WitProtocol(输出经纬度2)-1661322549826/chs/lib/utils/byte_array_converter.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/dvl/hover_h1000/tcp_if.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/dvl/hover_h1000/protocol.py,python,48,0,0,0,8,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/dvl/hover_h1000/serial_if.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/dvl/hover_h1000/io.py,python,60,0,0,0,10,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/drivers/dvl/hover_h1000/command.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/sensors/dvl_hover_h1000.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/uwnav/sensors/imu.py,python,36,0,0,0,6,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/CMakeLists.txt,cmake,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/imu_rt_filter.cpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/imu_driver_wit.cpp,cpp,5,1,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_daemon.cpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/timebase.cpp,cpp,5,1,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/eskf.cpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/dvl_driver.cpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/nav_state_publisher.cpp,cpp,16,0,2,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/src/bin_logger.cpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/imu_driver_wit.hpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/types.hpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/eskf.hpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/timebase.hpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/status.hpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/bin_logger.hpp,cpp,12,0,0,2,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/imu_rt_filter.hpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/dvl_driver.hpp,cpp,24,0,0,4,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/log_packets.hpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/logging.hpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/Underwater-robot-navigation/nav_core/include/nav_core/nav_state_publisher.hpp,cpp,12,0,0,2,0,0
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/project_size_report.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/git_hotspots.py,python,6,0,0,0,1,0
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/metrics_complexity.py,python,0,0,0,0,0,0
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/deps_includes.py,python,10,2,0,0,0,0
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/report_md.py,python,61,12,0,0,0,4
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/metrics_loc.py,python,5,1,0,0,0,0
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/audit.py,python,20,4,0,0,0,0
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/common.py,python,7,0,0,0,1,13
UnderwaterRobotSystem/UnderwaterRobotSystem/tools/quality/risk_scan.py,python,60,12,0,0,0,0
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/CMakeLists.txt,cmake,0,0,0,0,0,0
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/shm/nav_state_shm.hpp,cpp,9,0,1,0,0,1
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/shm/key_event_shm.hpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/shm/control_intent_shm.hpp,cpp,1,0,0,0,0,4
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/shm/nav_state_view_shm.hpp,cpp,9,0,1,0,0,1
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/shm/key_event_ring_shm.hpp,cpp,24,0,0,4,0,0
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/msg/nav_state.hpp,cpp,1,0,0,0,0,1
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/msg/nav_state_view.hpp,cpp,1,0,0,0,0,3
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/msg/key_event.hpp,cpp,0,0,0,0,0,0
UnderwaterRobotSystem/UnderwaterRobotSystem/shared/msg/control_intent.hpp,cpp,1,0,0,0,0,16
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/CMakeLists.txt,cmake,1,0,0,0,0,7
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/proto_gcs/CMakeLists.txt,cmake,1,0,0,0,0,6
UnderwaterRobotSystem/OrangePi_STM32_for_ROV/proto_gcs/src/crc32c.cpp,cpp,7,0,0,1,0,2
